feature,importance
salary_avg,0.9999899214879987
salary_max,2.328132560593636e-06
salary_max_scaled,7.175680069286968e-07
desc_svd_1,5.834295681553079e-07
desc_svd_5,5.128320446684061e-07
desc_svd_7,4.657193329848378e-07
desc_svd_0,4.4326197053194687e-07
desc_svd_4,4.2290968687859963e-07
desc_svd_9,4.0762779380976487e-07
desc_svd_3,3.981797326969278e-07
desc_svd_2,3.9196168870767486e-07
desc_svd_8,3.9098379761130805e-07
desc_svd_6,3.6746970036797056e-07
company_encoded,3.500011783471008e-07
standardized_title_encoded,3.0947980462054546e-07
salary_range,2.799892170013799e-07
city_encoded,2.7499601534310325e-07
state_encoded,2.7286017230825394e-07
salary_min,2.6597911994584573e-07
salary_range_pct,2.525869134047567e-07
salary_min_scaled,2.497901178568582e-07
source_encoded,1.6312868483826814e-07
is_tech_hub,9.089606026361836e-08
education_rank,6.790510494540969e-08
education_level_encoded,5.975444155504579e-08
Spring,7.416831310722731e-09
Go,3.6524556524904012e-09
salary_period_encoded,0.0
NoSQL,0.0
SQL,0.0
C#,0.0
C++,0.0
JavaScript,0.0
Java,0.0
Python,0.0
MongoDB,0.0
React,0.0
Vue,0.0
Angular,0.0
AWS,0.0
Azure,0.0
GCP,0.0
Node.js,0.0
Kubernetes,0.0
Git,0.0
CI/CD,0.0
Jenkins,0.0
TensorFlow,0.0
PyTorch,0.0
Scikit-learn,0.0
Docker,0.0
REST API,0.0
Project Management,0.0
Scrum,0.0
Agile,0.0
Statistics,0.0
Data Visualization,0.0
Data Analysis,0.0
Computer Vision,0.0
NLP,0.0
Deep Learning,0.0
Machine Learning,0.0
Excel,0.0
Power BI,0.0
Tableau,0.0
R,0.0
NumPy,0.0
Pandas,0.0
Unix,0.0
Windows Server,0.0
Rails,0.0
Ruby,0.0
PHP,0.0
Linux,0.0
Swift,0.0
Rust,0.0
TypeScript,0.0
Hibernate,0.0
Flask,0.0
GraphQL,0.0
Django,0.0
Kotlin,0.0
is_tech_giant,0.0
